Month,Forecast,Lower_95,Upper_95
January 2019,52113.21,17846.78,86379.64
February 2019,30764.61,-9231.69,70760.91
March 2019,66285.75,17502.47,115069.03
April 2019,46825.81,-8472.8,102124.42
May 2019,55059.84,-6995.25,117114.93
June 2019,51360.14,-16927.73,119648.01
July 2019,48813.69,-25617.16,123244.55
August 2019,55849.4,-24538.65,136237.46
September 2019,83201.92,-3053.99,169457.82
October 2019,68763.25,-23272.32,160798.82
November 2019,101486.82,3728.95,199244.69
December 2019,85802.21,-17632.02,189236.44
